"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"YIF1A",8.26183723135083,8.24337628550896,7.99661665002145,7.67458138955482,7.25088269268105,7.19930476459345,7.20492827172257,7.34604239465489,8.3694491835411,8.3314494689089,8.50052639516388,8.58089185087313,9.13632313068783,9.32349362848477,9.27976262599186,9.22755621372332
"PRDX3",7.75997999510218,7.66197527628234,7.43916577818964,6.87415375417241,5.81520536538968,6.07277477830571,5.98644438370351,6.11088730411384,8.45083342929018,8.26093887628453,8.93446331394037,8.78248488074489,9.83259042988053,9.30983597395995,10.0476626704312,9.78388244164313
"TOMM34",8.90939535439353,8.99825941807735,8.78347211047523,8.57965092130064,7.41709666777709,7.48364862516876,7.20519495686176,7.50500049091301,7.90244796905224,7.72596534647681,7.84785775232313,7.72680997685752,8.9525067354808,8.98218636949409,9.08014949872612,9.11313364544994
"TMED10",8.978237884226,9.09251875896593,9.01400850736316,8.85253564857865,8.19033385481228,8.55602668409449,8.43829098030636,8.50758559003939,9.60848351030248,9.42872186718333,9.77552757612253,9.56855171681593,10.0764636697383,9.93289820460476,10.0626171930355,9.97103644196395
"UQCR11",8.02214813840987,7.95028053892119,7.77989797478234,7.65161053406947,6.99210672583788,6.77935578779977,6.85899403099173,7.04887409119412,9.06046664252586,8.90319614606278,9.49144130446327,9.29155092547308,9.41595855234909,9.37257687515586,9.39396981145795,9.41689936657001
"METAP2",7.73817080814272,7.7655165525533,7.80624679144983,7.34752933427199,6.23982228000212,6.67694651234957,6.48457950963104,6.85293563300014,8.83942868857341,8.54347728029556,9.10242843635149,8.95683891396015,9.83933402757741,9.21096757535528,10.0677451990228,9.69387363469439
"DSTN",6.18592784415309,6.19463489164541,6.1741485532578,6.25673255311849,5.09414005831926,5.33247529477431,5.35336591680487,5.68089858989845,7.47748493550708,7.16104217413246,7.27625572505414,6.9549274377325,7.80736447435611,7.88270537744595,8.07744767831877,7.9791153313911
"NUDT21",9.14394847181349,9.14261014877009,9.09678232370272,8.98244623015694,7.86049210407487,8.12412618164213,7.78981924104078,8.18185777100209,9.35215233003179,9.11618512472848,9.55491877925545,9.57094598040112,10.134868252435,9.79127777819864,10.3107543883659,10.1884895754095
"CHEK1",7.4625298609061,7.43408597152145,7.49615882555428,6.90887938186463,5.04493533940853,5.55437460696164,5.39383123309887,5.64589678216128,6.33889211864952,5.96591206272537,6.71162568164359,6.52568401922563,8.62892006829069,8.23670307709442,9.15844550985879,8.83346995665368
"CIT",7.75722697978681,7.87793650938895,7.8096778100934,7.47016181127127,6.61898930132821,6.73045775896798,6.62037084563293,6.88421785770446,5.92616929139157,5.7955048278823,5.93065497134904,5.92648867759037,6.88506220879962,6.7462947587646,7.07818681471014,6.82638238772496
"BTN3A1",8.09138166128372,8.25779830180285,8.09039906873616,8.43813754526591,9.09773274675325,9.2344774249364,9.04210364272112,9.24460311849921,8.36629580403058,8.53385938436334,8.62701532631869,8.4418428184989,7.56019423956927,7.60329724708975,7.53856530352573,7.56623930667219
"ZWINT",9.01135326516575,8.93869287825385,9.16841647170452,8.63340784262181,7.03847206448757,7.41911353844125,7.24352261317445,7.54022815119718,7.50909420596458,7.35310496048612,7.55708792422288,7.59017227549559,9.00099226087936,8.86546234528491,8.99896893763135,9.1082765982004
"PWP1",8.02782622153124,8.02521032237588,8.05390789387313,7.76508857290192,7.16945865114168,7.30974152917141,7.21517342938352,7.39672543839805,9.01878850851605,8.90233648482932,9.20375182141626,9.08049452744403,9.71008010704868,9.50637838309526,9.90488365316207,9.79420957660319
"STRAP",7.47881592371451,7.1702256907266,7.2080510466977,7.41902339590733,7.20339493072352,6.80392113027324,6.71589015481237,6.6793596606786,8.60261808436059,8.64071261775598,8.59856049011755,8.58403195489734,9.31318813716846,9.24579205753996,9.54322698050657,9.45811168121002
"SUPT16H",9.7515594608693,9.62448749237221,9.79043623229473,9.50174919134228,7.90157800021492,8.31883190204403,8.10546361783433,8.32456105857842,8.98603049109715,8.7887598971375,9.12764110181837,9.00258942844407,10.4184979981977,9.91042213753986,10.5758842668464,10.4114827151767
"XPOT",7.30976108326235,7.63506164038445,7.39984035298496,6.95879398657336,5.06166604221834,5.61400705209761,4.88144579758373,5.2580312552579,6.29316586454873,6.01153801320084,6.71092308458284,6.53615713351224,8.61371464140203,8.08281435917129,9.20450818924168,8.81154629583171
"SNF8",8.56595070705134,8.3941641985091,8.6480008195586,8.33189164735783,7.62832402939893,7.76313431629258,7.80460225535815,7.87622491061493,9.3640544628511,9.23296962720614,9.61535345039319,9.60794143262186,9.80956074133767,9.53509290390851,9.85330474362849,9.91130148045252
"ADCY7",8.22510258617,8.31646044427279,8.23232877450791,8.66647634921077,9.15251846007107,9.34779668869237,9.25251205853391,9.35812662537057,8.0825219653627,8.12285036906983,8.13082162006325,8.13729218215971,7.7509198810779,7.51722739956669,7.37525077723546,7.45645839722206
"LYST",5.95517383700541,6.05936158695302,5.90158873496669,6.04337782766721,7.79778147004136,8.13754350516134,8.00500744465637,8.26890985494047,7.38332790766159,7.04983240528909,7.62428617783242,7.48902978609492,5.94380535206791,5.07294926422505,5.77471041691029,5.84396469736875
"CDCA5",7.79094489700768,7.84896655405628,7.70657561917794,7.52944776267197,6.32173752975324,6.12659659473633,6.20552113180031,6.40519275863302,6.77797552325984,6.50217389292999,6.70435230968284,6.49624001506641,8.16673492048469,8.1800578869527,8.3450208105528,8.26459232293694
"SAAL1",7.16347525685642,7.13812344468668,7.17981420481291,6.6632048635903,5.48807955864825,5.73801400858601,5.48758655007513,5.83897715514067,7.03979543326655,6.75121401811651,7.32838201649586,7.07790855240991,8.59215584428535,8.24388730743945,8.94240412210551,8.8357220978474
"GABARAP",7.055964595471,6.75316669494078,6.75344894970807,6.02484795581438,7.35640124339391,7.21688634403013,7.54583068209555,7.78051161865022,10.345581550905,10.270062220575,10.4042448931417,10.3452116819322,9.45810054040992,8.5193304327694,8.89265064353714,8.98534224495942
"OIP5",8.2698957195176,8.26931040648444,8.1820119854812,7.94811988615295,6.56103456327947,6.78986437620655,6.6313047054826,6.56563762007689,6.58653315438346,6.47395392955791,6.65058853453731,6.97283634352498,7.87693359455721,7.85681679212347,8.06752505363092,8.03785886320305
"LENG8",10.4013162854451,10.6043512611255,10.4654618901967,10.4456776434122,10.5118295092991,10.6737873792826,10.5678767709183,10.7020625992749,8.29209348303722,8.2886237690707,8.53804532863176,8.36876430574429,8.5617211224471,8.22528694389986,8.25163834215093,8.226812013143
"OSBPL10",9.76530445931269,9.8833007231635,9.60818418265479,9.79912147438116,10.9297737408636,10.9646750297584,10.8079550571536,10.9542100496153,10.0456347767439,9.95008824288122,9.9051060910013,9.96552572400966,9.16870697441462,8.57417637206722,8.88406955937581,8.86817183300215
