"","U7 NRO","U6 NRO","U5 NRO","U4 NRO","T7 NRO","T6 NRO","T5 NRO","T4 NRO","T4 Total","T5 Total","T6 Total","T7 Total","U4 Total","U5 Total","U6 Total","U7 Total"
"2527606",10.7462446348174,10.6602227624397,10.6732170542307,9.91462364848451,11.0819664393345,11.0478190995263,10.7653873008167,10.9847629063398,11.9325762914349,11.8268355221692,11.896049100686,12.0365613251705,11.4237796048345,10.6595194153261,11.61719534782,11.466464405185
"2830638",7.94865786781557,7.94153351472201,7.72055831733723,6.7885729029082,6.0638273640954,6.35099495275836,5.83098779107939,6.35095185722484,6.75421042795539,6.35990190922887,6.70059741640491,6.55264862020008,7.96949977469444,7.64935891075014,8.55139976256577,8.38193915689971
"3304406",7.73038198874174,7.68802494000616,7.56937592191562,7.53217233371501,7.6705888411229,7.76082183430593,7.45298782092737,7.79745607921877,8.65917530508794,8.48540351861325,8.76589907932799,8.71424450128806,8.76078433771136,8.64199646552231,8.83938858429664,8.60655784410535
"2550790",9.12415467149536,9.17747590605948,9.11235787262071,8.32554550080903,7.02402086816375,7.39441629614044,7.24562149119422,7.39978865127008,8.56086527207207,8.44139606373319,8.80920238417471,8.81104861431607,9.95598969895022,9.51945514265189,10.5382387876303,10.4884021518175
"3677752",10.8334355801119,10.8283181807471,10.7857896400603,10.2036913858621,8.22630692899487,8.26597600557977,8.18037815654549,8.29065392754131,8.08572360241231,8.09354026619718,8.09417740168556,8.11529762760632,10.5511010463633,10.6379877700181,10.8490173221056,10.8044930494189
"3235726",5.25302561486073,5.12121632682131,5.33439469921745,5.61504219689578,5.98208024171519,6.04602841179478,6.23312710439528,6.12434183788911,6.7779795096276,6.51982114451053,7.20652190237573,7.00782574843974,5.93720820763868,5.25769925794919,5.56228931929073,5.51857545398902
"3066818",7.27075637720581,7.24595984301984,7.03728422296269,6.77887306966967,5.83549455523842,5.78468191308985,5.3523602199446,5.9549729205773,5.97602645635904,6.18669806006044,6.078076636059,5.64185998236012,6.61537133285778,6.71359215002732,7.39013093661606,7.31101805474896
"3451264",5.87400880720797,6.07971236688326,5.83956593551662,5.70786327047847,5.73833894748535,6.18614695556189,5.90148395371602,6.08208079766182,7.09724329146643,6.62999009812625,7.83608549302355,7.2360427423569,7.26716250596906,6.82158708328907,7.57282120669262,7.36781471395377
"2777564",8.36881567534624,8.29753920838273,8.41262163963145,7.72060228484255,6.46809981540894,6.60527087182887,6.28910935218216,6.39282945094394,6.29897069031886,6.00776173502597,6.32826613096092,6.33619269235997,8.4913502815092,8.48694200837325,9.03272415811447,9.11976859167219
"3855410",9.42479095435977,9.55035548050284,9.5440252165036,9.45239739877807,9.02289304929538,9.26366837770414,9.12307451070586,9.28845456708068,8.06971633763626,7.89214509874924,8.26025209900556,8.1076289855659,8.62774849104549,8.17972464772409,8.57988041983186,8.36725690503768
